Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Soil and sediment quality regulation,Species,A,Palustrine Wetlands ,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Semi-confined transitional waters,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Pelagic ocean waters and Deep Sea floors,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Anthropogenic marine systems,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Marine shelfs,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Species,A,Brackish tidal systems ,1,Y,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil and sediment quality regulation,Water,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Desert and Semi-deserts ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Polar-Alpine ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Palustrine Wetlands ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Semi-confined transitional waters,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Pelagic ocean waters and Deep Sea floors,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Anthropogenic marine systems,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Marine shelfs,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil and sediment quality regulation,Water,A,Brackish tidal systems ,1,Y,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Desert and Semi-deserts ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Polar-Alpine ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Palustrine Wetlands ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Semi-confined transitional waters,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Pelagic ocean waters and Deep Sea floors,0,N,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Anthropogenic marine systems,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Marine shelfs,0,N,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Atmosphere,R,Brackish tidal systems ,1,Y,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Desert and Semi-deserts ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Polar-Alpine ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Palustrine Wetlands ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Semi-confined transitional waters,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Pelagic ocean waters and Deep Sea floors,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Anthropogenic marine systems,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Marine shelfs,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Structural and Biotic Integrity,R,Brackish tidal systems ,1,Y,"The structure and integrity of the ecosystem influences the dilution of pollutants, e.g. reed beds diluting water pollutants, oyster beds filtering sediment particles"
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Desert and Semi-deserts ,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Polar-Alpine ,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Palustrine Wetlands ,0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Semi-confined transitional waters,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Anthropogenic marine systems,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Marine shelfs,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Brackish tidal systems ,1,Y,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Desert and Semi-deserts ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Polar-Alpine ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Palustrine Wetlands ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Semi-confined transitional waters,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Pelagic ocean waters and Deep Sea floors,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Anthropogenic marine systems,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Marine shelfs,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Water,A,Brackish tidal systems ,1,Y,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Biological control,Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Marine shelfs,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,Changes in biotic integrity can create empty niches that allow invasions to occur.
Biological control,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Desert and Semi-deserts ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Polar-Alpine ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Palustrine Wetlands ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Semi-confined transitional waters,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Pelagic ocean waters and Deep Sea floors,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Anthropogenic marine systems,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Marine shelfs,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Biological control,Species,R,Brackish tidal systems ,1,Y,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Air filtration,Structural and Biotic Integrity,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Desert and Semi-deserts ,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Polar-Alpine ,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Intensive Land Use Systems - Agriculture and Croplands ,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
