,Economic activity ,,,,,Pressures,,,,,,,,,,,,,
G_46_465,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",,Group,"Wholesale of machinery, equipment and supplies can cause disturbances like noise pollution from premises or warehouses or vehicles used in warehouses to move and test machinery, equipment and other supplies.",N/A,"Wholesale of machinery, equipment and supplies can release carbon dioxide and other indirect greenhouse gases from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Wholesale of machinery, equipment and supplies can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). ",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Machinery wholesale trade can generate solid waste, which contributes to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic. ","Offices, warehouses, storage units and shops occupy land for operating their business.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",ND,https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full ; https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
G_46_462,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale of agricultural raw materials and live animals,,Group,Wholesale of agricultural raw materials and live animals can cause disturbances like noise and light pollution from premises or warehouses that store and distribute various household goods.,N/A,"Wholesale of agricultural raw materials and live animals can release carbon dioxide and other indirect greenhouse gases from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Wholesale of machinery, equipment and supplies can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). ",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Agricultural and live animals wholesale trade can generate solid waste, which contributes to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic.",Wholesale of agricultural raw materials and live animals occupy land for operating their business.,"Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.","Imported animals escape or are intentionally released and become invasive, contributing to the endangerment or extinction of native species. ","https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full
https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/fee.2059
 https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf
"
G_46_463,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of food, beverages and tobacco",,Group,"Wholesale of food, beverages and tobacco can cause disturbances like noise and light pollution from premises or warehouses that store and distribute supplies and from equipment for safe storage of food and beverages.",N/A,"Wholesale of food, beverages and tobacco can release carbon dioxide and other indirect greenhouse gases from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Wholesale of food, beverages and tobacco can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). ",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Food, beverage and tobacco wholesale trade can generate solid waste, which contributes to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic. ","Offices, warehouses, storage units and shops occupy land.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",ND,https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full ; https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
G_46_464,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale of household goods,,Group,Wholesale of household goods can cause disturbances like noise and light pollution from premises or warehouses that store and distribute various household goods.,N/A,"Wholesale of household goods can release carbon dioxide and other indirect greenhouse gases from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Wholesale of household goods can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). ",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Household goods wholesale trade can generate solid waste, which contributes to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic.","Offices, warehouses, storage units and shops occupy land.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",ND,https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full ; https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
G_46_461,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale on a fee or contract basis,,Group,Wholesale activities can cause disturbances like noise and light pollution from premises or warehouses that store and distribute various household goods.,N/A,"Wholesale on a fee or contract basis can release carbon dioxide and other indirect greenhouse gases from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Wholesale activities can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs). ",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Wholesale trade can generate solid waste, which contributes to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic. ","Offices, warehouses, storage units and shops occupy land.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",ND,https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full ; https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
G_46_469,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Non-specialized wholesale trade,,Group,"Non-specialized wholesale trade can cause disturbances like noise pollution due to vehicles (terrestrial, marine and airborne) causing road, marine and aerial noise that can disrupt or negatively affect species populations.",N/A,"Non-specialized wholesale trade activities can release CO2 and other indirect greenhouse gases emissions from fuels and chemicals used during distribution, contributing to air pollution. ",N/A,"Non-specialized wholesale trade activities can result in air pollution due to the use of fuels and chemicals during distribution, leading to emissions of carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs).",N/A,N/A,"Harmful and polluting substances (potentially toxic heavy metals such as Pb, Cu, Cr, Fe, Ni, Zn) may be leached into the environment in wholesale trade. Runoff from roads can increase pollution in soils, wetlands and streams unless the runoff is treated. Additionally, water pollution can occur from fuels and chemicals used during distribution. Additionally, direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Non-specialised wholesale trade can generate solid waste, which contribute to municipal solid waste. Types of solid waste vary but include non-product outputs such as glass and plastic. ","Offices, warehouses, storage units and shops occupy land.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",Vehicles used to distribute goods can unintentionally introduce non-native invasive species. This is particularly relevant for shipping where ballast water discharge is recognised as a significant vector for invasive species.,"https://www.frontiersin.org/articles/10.3389/fnins.2020.602796/full ; https://www.intechopen.com/chapters/71662 ; https://www.sciencedirect.com/science/article/pii/S004565352103455X ; https://www.nepjol.info/index.php/HP/article/view/18362 ; https://www.sciencedirect.com/science/article/pii/S0003682X19304001 ; https://www.mdpi.com/2077-1312/8/5/325 ; https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1987 ; https://www.nature.com/articles/s41893-019-0245-y ; https://link.springer.com/article/10.1007/s11367-020-01813-w ; https://worldveg.tind.io/record/66353/ ; https://publications.vtt.fi/pdf/tiedotteet/2007/T2370.pdf ; https://onlinelibrary.wiley.com/doi/full/10.1111/ele.12111 ; https://link.springer.com/article/10.1007/s42965-020-00115-4 ; https://www.sciencedirect.com/science/article/pii/S0959652620338476
http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947
http://journals.sagepub.com/doi/10.1177/0885412207314010
https://www.oecd.org/environment/envtrade/2386636.pdf
https://www.climatewatchdata.org/key-visualizations?topic=sectoral_emissions&visualization=3
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.pnas.org/doi/abs/10.1073/pnas.1913007117"
G_45_452,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,,Group,ND,N/A,ND,N/A,"The maintenance and repair of motor vehicles can contribute to the emission of non-greenhouse gases into the environment, for example, sulfur dioxide, which can be released during the operation of machinery.",N/A,N/A,"Maintenance and repair of motor vehicles produce direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Car maintenance activities can generate solid waste through processes such as replacing tires, oils and car batteries. The exact types of solid waste produced will vary but can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, rubber and leather.","Warehouses, storage units and shops occupy land.","Warehouses and retail buildings require water for a variety of purposes such as cleaning, heating and cooling, and transportation.",ND,"https://link.springer.com/article/10.1007/s11116-007-9118-8
https://journals.sagepub.com/doi/full/10.1177/2158244019899091
https://www.unescap.org/sites/default/files/CH08.PDF
https://pubs.acs.org/doi/abs/10.1021/es9914083.
https://link.springer.com/article/10.1007/S10163-015-0355-1
https://openknowledge.worldbank.org/handle/10986/17388
https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf
http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf
http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315
http://www.regscience.hu:88/record/367/files/DEMO-BOOK-2017-004.pdf
https://corporate.ford.com/microsites/sustainability-report-2016-17/performance/key-performance.html?intcmp=data"
G_47_471,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles",Retail sale in non-specialized stores,,Group,Retail sales in non-specialized stores can cause disturbances like light pollution from artificial light used in retail premises. ,N/A,"Retail sale in non-specialized stores can release greenhouse gas emissions from the maintenance of office (e.g. lights, heating and cooling) and its activities (e.g. computers, printers, copiers) can result in GHG emissions, contributing to air pollution.",N/A,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Retail sale in non-specialized stores produce direct emissions of waste and discharges from facilities (such as plastic packaging, cutlery or foodwaste) that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment.  ",N/A,"Retail buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. ",Retail buildings occupy land.,"Retail buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. The water used contributes to  water stress, especially in areas where water resources are already limited.",ND,"https://link.springer.com/article/10.1007/S10163-015-0355-1
https://www.sciencedirect.com/science/article/abs/pii/S037877881100524X
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/energy-and-carbon-management/
https://medium.com/retailcrc/top-5-environmental-sustainability-issues-in-retail-815aa0310779
https://www.researchgate.net/profile/Franz-Hoelker/publication/327606860_Light_pollution_reduction_Methods_to_reduce_the_environmental_impact_of_artificial_light_at_night/links/637c913254eb5f547cf3992b/Light-pollution-reduction-Methods-to-reduce-the-environmental-impact-of-artificial-light-at-night.pdf

https://openknowledge.worldbank.org/handle/10986/17388
https://www.sciencedirect.com/science/article/pii/S037877881100524X
https://www.sciencedirect.com/science/article/pii/S0959652614002467
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/waste/
http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf
https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf
https://corporate.walmart.com/2016grr/enhancing-sustainability/reducing-energy-intensity-and-emissions
https://corporate.homedepot.com/responsibility/operations
http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf
http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315
http://www.regscience.hu:88/record/367/files/DEMO-BOOK-2017-004.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
G_47_479,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles","Retail trade not in stores, stalls or markets",,Group,Retail trade can cause disturbances like light pollution from artificial light used in retail premises. ,N/A,"Retail trade not in stores, stalls or markets can release greenhouse gases emissions from the maintenance of office (e.g. lights, heating and cooling) and its activities (e.g. computers, printers, copiers) can result in GHG emissions, contributing to air pollution.",N/A,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Retail trade not in stores, stalls or markets produce direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Retail buildings associated with service provision can generate large solid waste. The exact types of solid waste produced will vary but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, rubber and leather. ",Retail buildings occupy land.,"Retail buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. The water used contributes to  water stress, especially in areas where water resources are already limited.",ND,"https://sustainability.aboutamazon.co.uk/2021-sustainability-report.pdf
https://link.springer.com/article/10.1007/S10163-015-0355-1
https://www.sciencedirect.com/science/article/abs/pii/S037877881100524X
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/energy-and-carbon-management/
https://medium.com/retailcrc/top-5-environmental-sustainability-issues-in-retail-815aa03107799
https://www.researchgate.net/profile/Franz-Hoelker/publication/327606860_Light_pollution_reduction_Methods_to_reduce_the_environmental_impact_of_artificial_light_at_night/links/637c913254eb5f547cf3992b/Light-pollution-reduction-Methods-to-reduce-the-environmental-impact-of-artificial-light-at-night.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf

https://openknowledge.worldbank.org/handle/10986/17388
https://www.sciencedirect.com/science/article/pii/S037877881100524X
https://www.sciencedirect.com/science/article/pii/S0959652614002467
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/waste/
http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf
https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf
https://corporate.walmart.com/2016grr/enhancing-sustainability/reducing-energy-intensity-and-emissions
https://corporate.homedepot.com/responsibility/operations
http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf
http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315
http://www.regscience.hu:88/record/367/files/DEMO-BOOK-2017-004.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
G_47_477,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles",Retail sale of other goods in specialized stores,,Group,Retail sales of goods in specialized stores can cause disturbances like light pollution from artificial light used in retail premises. ,N/A,"Retail sale of other goods in specialized stores can release greenhouse gases emissions from the maintenance of office (e.g. lights, heating and cooling) and its activities (e.g. computers, printers, copiers) can result in GHG emissions, contributing to air pollution.",N/A,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Retail sale of other goods in specialized stores produce direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Retail buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. ",Retail buildings occupy land.,"Retail buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. The water used contributes to water stress, especially in areas where water resources are already limited.",ND,"https://link.springer.com/article/10.1007/S10163-015-0355-1
https://www.sciencedirect.com/science/article/abs/pii/S037877881100524X
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/energy-and-carbon-management/
https://medium.com/retailcrc/top-5-environmental-sustainability-issues-in-retail-815aa0310779
https://www.researchgate.net/profile/Franz-Hoelker/publication/327606860_Light_pollution_reduction_Methods_to_reduce_the_environmental_impact_of_artificial_light_at_night/links/637c913254eb5f547cf3992b/Light-pollution-reduction-Methods-to-reduce-the-environmental-impact-of-artificial-light-at-night.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf

https://openknowledge.worldbank.org/handle/10986/17388
https://www.sciencedirect.com/science/article/pii/S037877881100524X
https://www.sciencedirect.com/science/article/pii/S0959652614002467
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/waste/
http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf
https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf
https://corporate.walmart.com/2016grr/enhancing-sustainability/reducing-energy-intensity-and-emissions
https://corporate.homedepot.com/responsibility/operations
http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf
http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf
https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315
http://www.regscience.hu:88/record/367/files/DEMO-BOOK-2017-004.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
G_47_474,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles",Retail sale of information and communications equipment in specialized stores,,Group,Retail sale of information and communications equipment in specialized stores can cause disturbances like light pollution from artificial light used in retail premises. ,N/A,"Retail sale of information and communications equipment in specialized stores can release greenhouse gases emissions from the maintenance of office (e.g. lights, heating and cooling) and its activities (e.g. computers, printers, copiers) can result in GHG emissions, contributing to air pollution.",N/A,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Retail sale of information and communications equipment in specialized stores produce direct emissions of waste and discharges from facilities that can significantly contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. ",N/A,"Retail buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, rubber and leather. ",Retail buildings occupy land.,"Retail buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. The water used contributes to water stress, especially in areas where water resources are already limited.",ND,"https://link.springer.com/article/10.1007/S10163-015-0355-1
https://www.sciencedirect.com/science/article/abs/pii/S037877881100524X
http://www.boots-uk.com/corporate-social-responsibility/what-we-do/environment/energy-and-carbon-management/
https://medium.com/retailcrc/top-5-environmental-sustainability-issues-in-retail-815aa0310779
https://www.researchgate.net/profile/Franz-Hoelker/publication/327606860_Light_pollution_reduction_Methods_to_reduce_the_environmental_impact_of_artificial_light_at_night/links/637c913254eb5f547cf3992b/Light-pollution-reduction-Methods-to-reduce-the-environmental-impact-of-artificial-light-at-night.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
G_47_473,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade, except of motor vehicles and motorcycles",Retail sale of automotive fuel in specialized stores,,Group,"Retail sale of automotive fuel in specialized stores can cause disturbances like light pollution from artificial light used in retail premises. Potential for fire and explosion, causing disturbance to the surrounding area.",N/A,"Retail sale of automotive fuel in specialized stores can release greenhouse gases emissions from the maintenance of office (e.g. lights, heating and cooling) and its activities (e.g. computers, printers, copiers) can result in GHG emissions, contributing to air pollution.",N/A,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Retail sale of automotive fuel produce direct emissions of waste and discharges that contribute to the release of toxic soil and water pollutants, affecting the surrounding environment. For example, accidental release of fuel through storage tank leaks or small spills during unloading or vehicle filling can directly impact soils beneath the site and potentially contaminating water tables, negatively affecting drinking water.",N/A,"Retail buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary but these can include non-product outputs such as waste engine oil, contaminated spill cleanup materials, contaminated soils, and general waste from any retail outlet such as packaging waste.",Retail buildings occupy land.,"Retail buildings require water for a variety of purposes such as restrooms, heating and cooling, and landscaping. The water used contributes to water stress, especially in areas where water resources are already limited.",ND,"https://www.ebrd.com/downloads/policies/environmental/petrol.pdf
https://phys.org/news/2011-02-petrol-stations-pollute.html
https://proceedings.esri.com/library/userconf/proc13/papers/980_191.pdf
https://www.researchgate.net/profile/Franz-Hoelker/publication/327606860_Light_pollution_reduction_Methods_to_reduce_the_environmental_impact_of_artificial_light_at_night/links/637c913254eb5f547cf3992b/Light-pollution-reduction-Methods-to-reduce-the-environmental-impact-of-artificial-light-at-night.pdf
https://www.c2es.org/content/reducing-your-carbon-footprint-at-work/ https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf
https://corporate.ford.com/microsites/sustainability-report-2016-17/performance/key-performance.html?intcmp=data"
